State,Title,Description,Type
OR,Alternative Fuel Vehicle (AFV) Parking Space Regulation,"An individual is not allowed to park a motor vehicle within any parking space specifically designated for public parking and fueling of AFVs unless the motor vehicle is an AFV fueled by electricity, natural gas, methanol, propane, gasoline blended with at least 85% ethanol (E85), or other fuel the Oregon Department of Energy approves. Eligible AFVs must also be in the process of fueling or charging to park in the space. A person found responsible for a violation is subject to traffic violation penalties. (Reference <a href=""https://www.oregonlegislature.gov/"">Oregon Revised Statutes</a> 811.587)",Laws and Regulations
IL,Plug-In Electric Vehicle (PEV) Financing and Charging - Illinois Electric Cooperative,"Illinois Electric Cooperative (Co-op) members are eligible for loan financing at 0.5% for 60 months for the purchase of new PEVs. Members must apply and be approved for financing before purchase. The Co-op also offers a PEV time-of-use electricity rate for residential customers who own a PEV. The PEV rate is optional and requires installation of a separate meter. For more information, see the <a href=""http://www.e-co-op.com/services/electric-cars"">Illinois Electric Cooperative</a> website. ",Utility/Private Incentives
MI,Plug-In Electric Vehicle (PEV) Fee,"In addition to standard registration fees, PEVs, including all-electric vehicles (EVs) and plug-in hybrid electric vehicles (PHEVs) with a minimum battery capacity of 4 kilowatt-hours, are subject to an annual fee. The specific fees are as follows:</p><p><center><table class=""table table-bordered""><tr><th>Vehicle Type</th><th>Gross Vehicle Weight Rating</th><th>Fee</th></tr><tr><td>PHEV</td><td>8,000 pounds (lbs.) or less</td><td>$30</td></tr><tr><td>PHEV</td><td>> 8,000 lbs.</td><td>$100</td></tr><tr><td>EV</td><td>8,000 lbs. or less</td><td>$100</td></tr><tr><td>EV</td><td>> 8,000 lbs.</td><td>$200</td></tr></table></center></p><p>PHEV fees will increase by $2.50 per $0.01 that the state motor fuel tax exceeds $0.19 and EV fees will increase by $5.00 per $0.01 that the state motor fuel tax exceeds $0.19.</p><p>(Reference <a href=""http://www.legislature.mi.gov"">Michigan Compiled Laws</a> 257.801)",Laws and Regulations
US,Natural Gas Vehicle (NGV) and Plug-In Electric Vehicle (PEV) Weight Exemption,"NGVs and PEVs may exceed the federal maximum gross vehicle weight limit for comparable conventional fuel vehicles by up to 2,000 pounds (lbs.). The NGV or PEV must not exceed a maximum gross vehicle weight of 82,000 lbs. (Reference <a href=""https://www.congress.gov/public-laws/116th-congress"">Public Law</a> 116-6 and 23 <a href=""https://www.govinfo.gov/"" target=""_blank"">U.S. Code</a> 127(s))",Incentives
NY,Plug-In Electric Vehicle (PEV) Rebate Program ,"The New York State Energy Research and Development Authority (NYSERDA) provides rebates of up to $2,000 for the purchase or lease of a new eligible PEV. An eligible vehicle must:<ul><li>Be a four-wheeled motor vehicle manufactured for use on public streets, roads, and highways,<li>Have a gross vehicle weight rating of not more than 8,500 pounds,<li>Have a maximum speed of at least 55 miles per hour, and<li>Be propelled at least in part by an electric motor and associated power electronics that draws electricity from a hydrogen fuel cell or from a battery that has a battery capacity of at least four kilowatt-hours, and is capable of being charged from an external source of electricity.</ul></p><p>Rebate amounts vary based on a vehicle's all-electric range and manufacturer's suggested retail price. For more information, see NYSERDA's <a href=""https://www.nyserda.ny.gov/All-Programs/Programs/Drive-Clean-Rebate"">Drive Clean Rebate</a> website.


",State Incentives
IA,Residential Electric Vehicle Supply Equipment (EVSE) Rebate - Alliant Energy,"Alliant Energy offers rebates to residential customers who purchase and install Level 2 EVSE. The rebate is $250 for non-networked EVSE and $500 for networked EVSE. Eligible EVSE must be purchased and installed between January 1 and December 31, 2020. For more information, including how to apply and funding availability, see the Alliant Energy <a href=""https://www.alliantenergy.com/InnovativeEnergySolutions/SmartEnergyProducts/ElectricVehicles/EVHomeChargersandRebates"">Electric Vehicle Chargers</a> website.",Utility/Private Incentives
WI,Residential Electric Vehicle Supply Equipment (EVSE) Rebate - Alliant Energy,"Alliant Energy offers a rebate up to $500 to residential customers who purchase and install Level 2 EVSE. The EVSE must be purchased and installed between January 1, 2019, and December 31, 2019. For more information, including how to apply, see the Alliant Energy <a href=""https://www.alliantenergy.com/InnovativeEnergySolutions/SmartEnergyProducts/ElectricVehicles/EVHomeChargersandRebates"">Electric Vehicle Chargers</a> website.
",Utility/Private Incentives
NJ,Electric Vehicle Supply Equipment (EVSE) Grants,"The New Jersey Department of Environmental Protection (NJDEP) provides grants through the It Pay$ to Plug In: New Jersey's Electric Vehicle Workplace Charging Grant Program (Program) to support plug-in electric vehicle adoption and EVSE installation. Reimbursement grants are offered on a first-come, first-served basis for the cost and installation of eligible EVSE at workplaces, government and educational facilities, non-profits, parking facilities, and multi-unit dwellings.</p><p>The Program is part of New Jersey's <a href=""http://www.nj.gov/emp/"">Energy Master Plan</a>. Applications have exceeded the program funding, but will still be accepted and placed on a waitlist (verified January 2020). For more information, including application and eligibility requirements, visit the <a href=""https://www.drivegreen.nj.gov/plugin.html"">Drive Green NJ </a>website.
",State Incentives
CO,Plug-In Electric Vehicle (PEV) Tax Credit,"Qualified all-electric vehicles (EVs) and plug-in hybrid electric vehicles (PHEVs) titled and registered in Colorado are eligible for a tax credit. Light-duty PEVs purchased, leased, or converted before January 1, 2026, are eligible for a tax credit equal to the amounts below:
</p><div align=""center""><table class=""table table-bordered""><tr><th>Category</th><th>2020-2021</th><th>2021-2023</th><th>2023-2026</th></tr><tr><td>Light-duty EV or PHEV</td><td align=""center"">$4,000 for purchase or conversion; $2,000 for lease</td><td>$2,500 for purchase or conversion; $1,500 for lease</td><td>$2,000 for purchase or conversion; $1,500 for lease</td></tr><tr><td>Light-duty electric truck</td><td align=""center"">$5,500 for purchase or conversion; $2,750 for lease</td><td>$3,500 for purchase or conversion; $1,750 for lease</td><td>$2,800 for purchase or conversion; $1,750 for lease</td></tr><tr><td>Medium-duty electric truck</td><td align=""center"">$8,000 for purchase or conversion; $4,000 for lease</td><td>$5,000 for purchase or conversion; $2,500 for lease</td><td>$4,000 for purchase or conversion; $2,500 for lease</td></tr><tr><td>Heavy-duty electric truck</td><td align=""center"">$16,000 for purchase or conversion; $8,000 for lease</td><td>$10,000 for purchase or conversion; $5,000 for lease</td><td>$8,000 for purchase or conversion; $5,000 for lease</td></tr></table></div></p><p>The credit amount for any qualifying truck is limited to the difference in manufacturer's suggested retail price between the qualifying truck and a comparable truck that operates on either gasoline or diesel fuel. The credit that may be claimed for converting a truck to a qualifying truck is limited to the cost of conversion. </p><p>Eligible purchased vehicles must be new, and eligible leased vehicles must have a lease term of not less than two years. A purchaser may assign the tax credit generated through the purchase, lease, or conversion to any of the above categories of vehicle to the financing entity, allowing the purchaser to realize the value of the tax credit at the time of purchase, lease, or conversion. The financing entity may collect an administrative fee of no more than $150. </p><p>For more information, see the Colorado Department of Revenue's <a href=""https://www.colorado.gov/pacific/sites/default/files/Income69.pdf"">Income 69</a> FYI publication.</p><p> (Reference <a href=""http://www.lexisnexis.com/hottopics/Colorado/"">Colorado Revised Statutes</a> 39-22-516.7 and 39-22-516.8)",State Incentives
MN,Electric Vehicle Supply Equipment (EVSE) Rebate - Connexus Energy,"Connexus Energy offers a $500 rebate to residential customers toward the installation of a qualified Level 2 EVSE. Eligible applicants must enroll in a time-of-use rate. For more information, see the Conexus Energy <a href=""https://www.connexusenergy.com/save-money-and-energy/programs-rebates/electric-vehicles"">Electric Vehicle</a> page.",Utility/Private Incentives
MD,Plug-In Electric Vehicle (PEV) Charging Rates - BGE,"Baltimore Gas and Electric Company (BGE) offers time-of-use (TOU) rate options to  residential customers who purchase or lease a PEV. Residential customers with a qualified Level 2 PEV charger, capable of separately tracking PEV charging data, may apply for a TOU rate applicable only to PEV charger usage. Residential PEV drivers without a qualified Level 2 charger may enroll in a whole-house TOU rate, which applies to the energy used for the entire residence during a billing period. For more information, see the BGE <a href=""https://www.bge.com/SmartEnergy/InnovationTechnology/Pages/EVTOURate.aspx"">EVsmart</a> website.",Utility/Private Incentives
MA,Plug-In Electric Vehicle (PEV) Discounts - Mass Energy,"Mass Energy's Drive Green with Mass Energy program provides discounts on qualified PEVs purchased or leased from participating dealerships. The discount program is available to all consumers, including those that are not in Mass Energy's service territory. For more information, including participating dealerships and the discounts they offer, see the <a href=""https://greenenergyconsumers.org/drivegreen"">Drive Green with Mass Energy</a> website. ",Utility/Private Incentives
RI,Plug-In Electric Vehicle (PEV) Discounts - People's Power & Light (PP&L),"PP&L's Drive Green with PP&L program provides discounts on qualified PEVs purchased or leased from participating dealerships. The discount program is available to all consumers, including those that are not in PP&L's service territory. For more information, including participating dealerships and the discounts they offer, see the <a href=""https://greenenergyconsumers.org/drivegreen"">Drive Green with PP&L</a> website. ",Utility/Private Incentives
CA,Electric Vehicle Supply Equipment (EVSE) and Charging Incentives - Sonoma Clean Power,"Qualified Sonoma Clean Power (SCP) customers are eligible to receive a free EVSE that can be connected to Wi-Fi and communicate with the SCP GridSavvy Community. Customers are responsible for shipping and installation costs. Customers may also receive $5 per month for connecting the EVSE to the GridSavvy Community. Other terms and conditions may apply. For more information, including frequently asked questions, see SCP's <a href=""https://sonomacleanpower.org/programs/gridsavvy"">GridSavvy</a> website.",Utility/Private Incentives
MA,Public Electric Vehicle Supply Equipment (EVSE) Requirements,"Owners and operators of public EVSE that require payment must provide payment options that allow access by the public. In addition, payment should not require users to pay a subscription fee or obtain a membership of any kind; however, required fees may be conditional on such memberships. Owners and operators can impose reasonable restrictions on EVSE use, such as limiting access to visitors of the business. In addition, owners and operators of public EVSE must provide the location, hours of operation, payment, and characteristics of each EVSE to the U.S. Department of Energy's Alternative Fuels Data Center. (Reference <a href=""http://www.malegislature.gov/Laws/GeneralLaws/"">Massachusetts General Laws</a> Chapter 25A, Section 16B-16E)",Laws and Regulations
MA,Zero Emission Vehicle (ZEV) Parking Space Regulations,"A city or town may restrict certain parking areas for ZEVs, which includes all-electric vehicles, plug-in hybrid electric vehicles, and fuel cell vehicles. A person who is found responsible for a violation of the restricted parking area may be subject to a penalty of no more than $50 and the vehicle may be removed from the parking spot. (Reference <a href=""http://www.malegislature.gov/Laws/GeneralLaws/"">Massachusetts General Laws</a> Chapter 40, Section 22A)",Laws and Regulations
CA,Plug-In Electric Vehicle (PEV) Rebate - PG&E,"Pacific Gas and Electric (PG&E) provides rebates of $800 to residential customers who purchase or lease an eligible PEV. Residential account holders may apply on behalf of a PEV owner in their household or their tenant in a multifamily household with the vehicle owner's permission. For more information, including additional eligibility requirements and how to apply, see the <a href=""https://www.pge.com/en_US/residential/solar-and-vehicles/options/clean-vehicles/electric/clean-fuel-rebate-for-electric-vehicles.page?WT.mc_id=Vanity_cleanfuelrebate-ev"">PG&E Clean Fuel Rebate</a> website.",Utility/Private Incentives
CA,Residential Electric Vehicle Supply Equipment (EVSE) Incentives - SMUD,"Sacramento Municipal Utility District (SMUD) offers residential customers a $599 rebate or a free Level 2 (240 volt) EVSE. Rebates or chargers are available to SMUD residential customers with the purchase or lease of a new plug-in electric vehicle (PEV). To be eligible for the rebate or charger, completed applications must be postmarked within 180 days of the date of purchase or lease of the PEV. Additional terms and conditions apply. For more information, including the rebate application, please see SMUD's <a href=""https://www.smud.org/en/Going-Green/Electric-Vehicles/EV-Incentive-Application-Page"">PEV Incentive</a> website.
",Utility/Private Incentives
CA,Zero Emission Vehicle (ZEV) Fee,"Beginning July 1, 2020, ZEV owners must pay an annual road improvement fee of $100 upon vehicle registration or registration renewal for ZEVs model year 2020 and later. The California Department of Motor Vehicles will increase the fee annually to account for inflation, equal to the increase in the California Consumer Price Index for the prior year. (Reference <a href=""http://www.oal.ca.gov/"">California Vehicle Code</a> 9250.6)",Laws and Regulations
MD,Plug-In Electric Vehicle (PEV) Charging Rate Incentive - Pepco,"Pepco offers a time-of-use rate to all qualified residential customers in Maryland who own or lease a PEV. For more information, see Pepco's <a href=""https://www.pepco.com/SmartEnergy/InnovationTechnology/Pages/ElectricVehicleProgramMD.aspx"">Plug-In Electric Vehicle Charging</a> website. ",Utility/Private Incentives
TN,Plug-In Electric Vehicle (PEV) Fee,"In addition to standard registration fees, PEV owners must pay an annual fee of $100. Low-speed and medium-speed vehicles are exempt from the fee. (Reference <a href=""http://www.lexisnexis.com/hottopics/tncode/"">Tennessee Code</a> 55-4-116)",Laws and Regulations
VT,Plug-In Electric Vehicle Credit - Vermont Electric Co-op (VEC),"VEC offers a $250 bill credit to members who purchase a new or used plug-in hybrid electric vehicle (PHEV) and a $500 bill credit to members who purchase a new or used all-electric vehicle (EV). Members who lease a PHEV are eligible for an annual bill credit of $50 for each year of the lease, and members who lease an EV are eligible for an annual bill credit of $100 for each year of the lease. For more information, including how to apply, see the <a href=""http://www.vermontelectric.coop/programs-services/energy-transformation-programs"">VEC Energy Transformation Program</a> website.
",Utility/Private Incentives
FL,Plug-In Electric Vehicle (PEV) Rebate - OUC,"Orlando Utilities Commission (OUC) provides rebates of $200 to residential customers who purchase or lease an eligible new or preowned PEV. Applicants must apply within six months of the purchase or lease of the PEV. For more information, see the OUC <a href=""http://www.ouc.com/residential/save-energy-water-money/electric-vehicles-at-home"">Electric Vehicles</a> page.

",Utility/Private Incentives
WV,Alternative Fuel Vehicle Fee,"In addition to standard registration fees, owners of vehicles fueled with natural gas, hydrogen, or electricity must pay an annual fee of $200. Plug-in hybrid electric vehicle owners must pay an annual fee of $100. (Reference <a href=""http://www.wvlegislature.gov/WVCODE/Code.cfm"">West Virginia Code</a> 17A-10-3C)

",Laws and Regulations
MN,All-Electric Vehicle (EV) Fee,"EVs are subject to an additional registration fee of $75. (Reference <a href=""https://www.revisor.mn.gov/pubs/"">Minnesota Statutes</a> 168.013).",Laws and Regulations
CA,Plug-In Electric Vehicle (PEV) Rebate - SCE,"Southern California Edison's (SCE) Clean Fuel Reward Program provides rebates of up to $1,000 to residential customers who purchase or lease an eligible new or used PEV. Residential account holders may apply on behalf of a PEV owner in their household. For more information, including additional eligibility requirements and how to apply, see the <a href=""https://evrebates.sce.com/cleanfuel"">SCE Clean Fuel Reward Program</a> website.",Utility/Private Incentives
SC,Alternative Fuel Vehicle Fee,"Owners of plug-in electric vehicles and fuel cell electric vehicles must pay a biennial fee of $120, in addition to standard registration fees. Hybrid electric vehicle owners must pay a biennial fee of $60. (Reference <a href=""http://www.scstatehouse.gov/code/statmast.php"">South Carolina Code of Laws</a> 56-3-645 and 12-28-110(39))",Laws and Regulations
TX,Light-Duty Alternative Fuel Vehicle Rebates,"The Texas Commission on Environmental Quality (TCEQ) administers the Light-Duty Motor Vehicle Purchase or Lease Incentive Program for the purchase or lease of a new light-duty vehicle powered by compressed natural gas (CNG), propane, hydrogen, or electricity. CNG and propane vehicles, including bi-fuel vehicles, are eligible for a rebate of $5,000 for the first 1,000 applicants. Electric drive vehicles powered by a battery or hydrogen fuel cell, including plug-in hybrid electric vehicles with a battery capacity of at least 4 kilowatt hours, are eligible for a rebate of $2,500, for the first 2,000 applicants. One rebate is available per eligible vehicle. The program is currently accepting applications (verified November 2019). For more information, including eligibility requirements and the application form, see the TCEQ <a href=""https://www.tceq.texas.gov/airquality/terp"">Texas Emissions Reduction Plan</a> website. (Reference <a href=""http://www.statutes.legis.state.tx.us/"">Texas Statutes</a> Health and Safety Code 386 and <a href=""http://www.sos.state.tx.us/tac/index.shtml"">Texas Administrative Code</a> 114.610-114.613)",State Incentives
NV,Alternative Fuel Vehicle (AFV) and Infrastructure Grants Authorization,"The Nevada Office of Energy will establish the Nevada Clean Energy Fund to fund qualified clean energy projects, including any program, technology, product, or service that supports the deployment of AFVs and related infrastructure. Technologies that involve the combustion of fossil fuels are not eligible for funding. (Reference <a href=""https://www.leg.state.nv.us/"">Nevada Revised Statutes</a> 701B.930-995)",Laws and Regulations
OR,Plug-In Electric Vehicle and Vehicle Efficiency Fees,"All-electric vehicle (EV) owners must pay an annual fee of $110 or a per-mile road use fee, administered by the OReGo program. Beginning January 1, 2022, EV owners must pay a fee of $115. Medium-speed EV owners must pay an annual fee of $58. All other hybrid vehicles must pay an annual fee in the following amounts: </p><div align=""center""><table class=""table table-bordered""><tr><th>Vehicle Efficiency</th><th>January 1, 2020 through December 31, 2021</th><th>After December 31, 2021</th></tr><tr><td>Vehicles with a rating of 0-19 miles per gallon (mpg)</td><td align=""center"">$18</td><td align=""center"">$20</td></tr><tr><td>Vehicles with a rating of 20-39 mpg</td><td align=""center"">$23</td><td align=""center"">$25</td></tr><tr><td>Vehicles with a rating of 40 mpg or greater</td><td align=""center"">$33</td><td align=""center"">$35</td></tr></table></div></p><p>The per-mile road use fee, as an alternative to the annual fees, is determined by the schedule below:</p><p><div align=""center""><table class=""table table-bordered""><tr><th>Calendar Year</th><th>Fee per Mile</th></tr><tr><td>2022</td><td align=""center"">$0.019 per mile</td></tr></table></div></p><p>Drivers with electric vehicles or vehicles with ratings over 40 mpg are exempt from additional registration fees if they enroll in the OReGo program. For more information, including how to apply, visit the <a href=""http://www.myorego.org/"">OReGo program</a> website. These fees are in addition to standard registration fees.</p><p>(Reference <a href=""https://www.oregonlegislature.gov/"">Oregon Revised Statutes</a> 803.420-803.422)",Laws and Regulations
RI,Plug-In Electric Vehicle (PEV) Charging Parking Restriction,"No person can stop, stand, or park a vehicle in a parking space where there is a PEV charging station and signage indicating that parking is for PEV charging only, unless the vehicle is connected to the charging equipment. Violations will be subject to a fine of $85. (Reference <a href=""http://webserver.rilin.state.ri.us/Statutes/"">Rhode Island General Laws</a> 31-21-18 and 31-41.1-4)",Laws and Regulations
CA,Plug-in Electric Vehicle (PEV) Parking Space Regulation,"An individual may not park a motor vehicle within any on- or off-street parking space specifically designated by a local authority for parking and charging PEVs unless the vehicle is a PEV fueled by electricity. Eligible PEVs must be in the process of charging to park in the space. A person found responsible for a violation is subject to traffic violation penalties.</p><p>PEV parking spaces count as at least one space toward minimum parking requirements.</p><p>(Reference <a href=""https://oal.ca.gov/"">Assembly Bill</a> 1100, 2019, and <a href=""http://leginfo.legislature.ca.gov/faces/home.xhtml"">California Vehicle Code</a> 22511)",Laws and Regulations
WI,Plug-In Electric Vehicle (PEV) Fees,"In addition to standard registration fees, all-electric vehicle owners must pay an annual fee of $100. Plug-in hybrid electric vehicle owners must pay an annual fee of $75. (Reference <a href=""http://legis.wisconsin.gov/rsb/stats.html"">Wisconsin Statutes</a> 341.25(1)(L) and <a href=""https://legis.wisconsin.gov/"">Wisconsin Act</a> 9, 2019)",Laws and Regulations
MN,Plug-In Electric Vehicle (PEV) Charging Rate Incentive - Xcel Energy,"Xcel Energy offers two rate options to qualified residential customers for charging PEVs. The Electric Vehicle (EV) Rate and the Time-of-Day Plan are optional and require a separate meter. For rate information, including how to qualify, see Xcel Energy's <a href=""https://www.xcelenergy.com/energy_portfolio/innovation/electric_vehicles/electrical_vehicle_rate"">EV Rate Options</a> page.",Utility/Private Incentives
UT,Plug-In Electric Vehicle (PEV) Credit and Charging Rate Reduction Pilot - Rocky Mountain Power,"Rocky Mountain Power offers residential customers with PEVs $200 to enroll in a time-of-use (TOU) rate pilot. Participants may choose between two rate plans. The TOU rate will apply to all household energy use. For more information, see the Rocky Mountain Power <a href=""https://www.rockymountainpower.net/savings-energy-choices/electric-vehicles/utah-ev-time-of-use-rate.html"">PEV TOU Rate Pilot Program</a> website.",Utility/Private Incentives
UT,Non-Residential Electric Vehicle Supply Equipment (EVSE) Rebate - Rocky Mountain Power,"Rocky Mountain Power provides rebates to non-residential and multi-family customers toward the purchase of Level 2 and direct current (DC) fast EVSE. Customers installing Level 2 EVSE may receive a rebate of 75% of equipment cost, up to $2,500 for single port stations and $3,500 for multi-port stations. Customers installing DC fast charging EVSE may receive a rebate of 75% of equipment and installation cost, up to $30,000 for single port stations and $42,000 for multi-port stations.</p><p> Rebates are available on a first-come, first-served basis. Additional terms and conditions apply. For more information, see the Rocky Mountain Power <a href=""https://www.rockymountainpower.net/savings-energy-choices/electric-vehicles/utah-incentives.html"">Utah Electric Vehicle Incentives</a> website.",Utility/Private Incentives
IN,Electric Drive Vehicle Registration Fee,"Plug-in electric vehicle owners are required to pay an additional registration fee of $150, and plug-in hybrid and hybrid electric vehicles are required to pay an additional registration fee of $50. The Indiana Bureau of Motor Vehicles will determine new fee amounts every five years. (Reference <a href=""http://www.in.gov/legislative/ic/code/"">Indiana Code</a> 9-18.1-5-12)",Laws and Regulations
MN,Plug-In Electric Vehicle (PEV) Wind Energy Promotion - Great River Energy,"Great River Energy's Revolt initiative offers the ability to power a PEV with 100% wind energy for the lifetime of the vehicle. The program requires no additional cost, however standard or off-peak rates still apply for the electricity used. ",Utility/Private Incentives
VT,Electric Vehicle Supply Equipment (EVSE) Incentive - Green Mountain Power (GMP),"GMP residential customers are eligible for a free Level 2 EVSE when they purchase a new all-electric vehicle. For more information about these incentives, see GMP's <a href=""https://greenmountainpower.com/product/home-level-2-ev-charger/"">In-Home Level 2 EV Charger</a> website.",Utility/Private Incentives
NH,Plug-In Electric Vehicle (PEV) Rebates - New Hampshire Electric Co-op (NHEC),"NHEC offers rebates of $1,000 for the purchase or lease of a new or used electric vehicle (EV), and $600 for the purchase or lease of a new or used plug-in hybrid electric vehicle. The PEV must be purchased or leased between January 1, 2019, and December 31, 2019. For more information, including how to apply, see the NHEC <a href=""https://www.nhec.com/drive-electric/#/find/nearest"">Drive Electric</a> website.",Utility/Private Incentives
NH,Electric Vehicle Supply Equipment (EVSE) Rebates - New Hampshire Electric Co-op (NHEC),"NHEC offers rebates for residential customers to install EVSE. Customers may receive a rebate of up to $300 to install EVSE and a separate electric meter. For more information, including how to apply, see the NHEC <a href=""https://www.nhec.com/drive-electric/#/find/nearest"">Drive Electric</a> website.",Utility/Private Incentives
NH,Plug-In Electric Vehicle (PEV) Charging Rate Incentive - New Hampshire Electric Co-op (NHEC),"NHEC offers a residential off-peak rate program for electricity purchased to charge PEVs. The electricity used for vehicle charging is metered separately from all other electricity use. For more information, see the NHEC <a href=""https://www.nhec.com/drive-electric/#/find/nearest"">Drive Electric</a> website.",Utility/Private Incentives
NY,Plug-In Electric Vehicle (PEV) and Charging Infrastructure Support,"The New York Power Authority's (NYPA) EVolve NY program has allocated up to $250 million to support PEVs and address charging infrastructure gaps throughout the state. EVolve NY will implement this funding in phases. The initial phase directs $40 million to fund three initiatives through 2019, including programs for interstate direct current (DC) fast chargers, airport charging hubs, and PEV model communities. For more information, see NYPA's <a href=""https://www.nypa.gov/innovation/programs/evolveny"">EVolve NY</a> website.",Laws and Regulations
CT,Loans for Residential Charging or Natural Gas Fueling Infrastructure,"The Connecticut Green Bank offers Smart-E low-interest loans for Connecticut PEV drivers to purchase Level 2 and DC fast electric vehicle supply equipment (EVSE) or natural gas vehicle fueling equipment. To qualify, applicants must own and occupy the residence at which the EVSE or fueling equipment will be installed. For more information, see the Connecticut Green Bank <a href=""https://ctgreenbank.com/programs/smart-e-loans/"">Smart-E Loans</a> website.",State Incentives
VT,Plug-In Electric Vehicle (PEV) Rebate - Green Mountain Power (GMP),"GMP provides rebates of $1,500 for the purchase of new all-electric vehicles, $1,000 for the purchase of new plug-in hybrid electric vehicles, and $750 for the purchase of used PEVs. Customers with qualifying low and moderate household incomes are eligible for an additional $1,000 rebate. Vehicles must have a manufacturer's suggested retail price that is less than or equal to $60,000. For more information, see the GMP <a href=""https://greenmountainpower.com/product/ev-rebate/"">EV Rebate</a> website.",Utility/Private Incentives
NC,EVSE Rebate and Charging Rate Reduction - Randolph Electric Membership Corporation (EMC),"Randolph EMC's Electric Vehicle Utility Program (REVUP) offers rebates for residential customers of $500 towards the purchase of residential Level 2 electric vehicle supply equipment (EVSE). To qualify, residents must be a registered owner of an electric vehicle (EV), purchase and install a Wi-Fi connected Level 2 EVSE, and agree to share the data collected by the EVSE. Rebates are available to the first 25 applicants. REVUP also offers residents an EV time-of-use (TOU) rate. For more information, see the  <a href=""https://www.randolphemc.com/content/revup-your-electric-vehicle-savings-remc"">REVUP</a> website.",Utility/Private Incentives
NH,Plug-In Electric Vehicle (PEV) Parking Requirement,"An individual may not park a motor vehicle in a parking space equipped with a public electric vehicle charging station unless the vehicle is a PEV. (Reference <a href=""http://www.gencourt.state.nh.us/rsa/html/indexes/default.html"">New Hampshire Revise Statutes</a> 236:131)",Laws and Regulations
DE,Electric Vehicle Supply Equipment (EVSE) Incentive - Delaware Electric Cooperative (DEC),"DEC offers a one-time $200 billing credit and an additional $5 monthly billing credit to customers if they do not charge their plug-in electric vehicles during Beat the Peak alerts. To qualify for the Beat the Peak incentives, residents must have qualified WiFi connected residential EVSE and enroll in the Beat the Peak program. For more information, see the <a href=""https://www.delaware.coop/btp/electric-vehicles"">Beat the Peak</a> website.",Utility/Private Incentives
MA,Electric Vehicle Supply Equipment (EVSE) Discount - Braintree Electric Light Department (BELD),"BELD offers customers a discount of $250 for the purchase of a qualified Level 2 EVSE. To qualify, customers must enroll in the Smart Charging Program. For more information, including eligible EVSE criteria, see the BELD <a href=""https://braintree-ev.ene.org/"">Charging Incentives</a> website.",Utility/Private Incentives
MA,Plug-In Electric Vehicle (PEV) Charging Incentive - Braintree Electric Light Department (BELD),"BELD’s Smart Charging Program offers a bill credit of $8 per month to customers that charge their PEVs between 9pm and 12pm the next day on weekdays or at any time during the weekend. For more information, see the BELD <a href=""https://braintree-ev.ene.org/charging-guide/rebates-and-incentives-charging/"">Charging Incentives</a> website.",Utility/Private Incentives
CA,Plug-In Electric Vehicle (PEV) Rebate - Pasadena Water and Power (PWP),"PWP provides rebates of $250 to residential customers who purchase or lease an eligible new or used PEV. An additional $250 is available for eligible PEVs purchased or leased from a Pasadena dealership. Customers participating in PWP's income-qualifying programs may also qualify for an additional $250 rebate, for a total of $750. Rebates are available for PEVs purchased or leased on or after August 1, 2018. Additional terms and conditions apply. For more information, see the PWP <a href=""https://ww5.cityofpasadena.net/water-and-power/residentialevrebate/"">Residential Electric Vehicle and Charger Incentive Program</a> website.",Utility/Private Incentives
UT,Alternative Fuel Vehicle Registration Fees,"Plug-in electric vehicle (PEV), plug-in hybrid electric vehicle (PHEV), and hybrid electric vehicle (HEV) owners are required to pay an additional registration fee as follows:</p>
<div align=""center""><table class=""table table-bordered""><tr><th>  </th><th>2020</th><th>2021 & Beyond</th></tr>
<tr><td>EV</td><td>$90</td><td>$120</td></tr>
<tr><td>PHEV</td><td>$39</td><td>$52</td></tr>
<tr><td>HEV</td><td>$15</td><td>$20</td></tr></table></div></p><p>Owners of a vehicles powered by a fuel other than motor fuel, diesel fuel, electricity, natural gas, or propane are required to pay an additional registration fee equal to the EV fees outlined in the table above. A six-month registration option with fees at prorated amounts is also available.</p><p>(Reference <a href=""https://le.utah.gov/xcode/code.html"">Utah Code</a> 41-1a-1206)",Laws and Regulations
MN,Residential Plug-In Electric Vehicle (PEV) Charging Pilot Program - Xcel Energy,"Xcel Energy offers a pilot program for residential customers who own or lease a PEV. The program provides discounted Level 2 electric vehicle supply equipment, installation, and charging costs. Enrollment is currently closed but additional applications will be put on a waitlist (verified July 2019). For more information, see the Xcel Energy <a href=""https://www.xcelenergy.com/energy_portfolio/innovation/electric_vehicles/ev_service_pilot"">EV Service Pilot</a> website.",Utility/Private Incentives
CA,Zero Emission Vehicle (ZEV) and Near-ZEV Weight Exemption,"ZEVs and near-ZEVs may exceed the state's gross vehicle weight limits by an amount equal to the difference of the weight of the near-zero emission or zero emission powertrain and the weight of a comparable diesel tank and fueling system, up to 2,000 pounds. A ZEV is defined as a vehicle that produces no criteria pollutant, toxic air contaminant, or greenhouse gas emissions when stationary or operating. A near-ZEV is a vehicle that uses zero emission technologies, uses technologies that provide a pathway to zero emission operations, or incorporates other technologies that significantly reduce vehicle emissions. (Reference <a href=""https://oal.ca.gov/"">California Business and Professions Code</a> 12725 and <a href=""http://leginfo.legislature.ca.gov/faces/home.xhtml"">California Vehicle Code</a> 35551)",State Incentives
